as_of_date,security_id,issuer_id,ticker,stock_code,stock_name,exchange,country,universe,native_taxonomy_label,taxonomy_source,taxonomy_version,icb_proxy_level1,icb_proxy_level3,mapping_version,mapping_method,confidence_score,confidence_band,mapping_effective_date,source_url,source_ts,run_id,effective_from,effective_to,is_current
2026-01-31,JP:8060:TYO,JP:8060,8060:TYO,8060,Canon Marketing Japan Inc,TSE,jp,topix500,Technology Hardware and Equipment,ft_icb_native,2026-01-31,Technology,Technology Hardware and Equipment,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8060:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8086:TYO,JP:8086,8086:TYO,8086,Nipro Corp,TSE,jp,topix500,Medical Equipment and Services,ft_icb_native,2026-01-31,Health Care,Medical Equipment and Services,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8086:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8088:TYO,JP:8088,8088:TYO,8088,Iwatani Corp,TSE,jp,topix500,"Gas, Water and Multi-utilities",ft_icb_native,2026-01-31,Energy,"Gas, Water and Multi-utilities",ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8088:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8111:TYO,JP:8111,8111:TYO,8111,Goldwin Inc,TSE,jp,topix500,Personal Goods,ft_icb_native,2026-01-31,Consumer Discretionary,Personal Goods,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8111:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8113:TYO,JP:8113,8113:TYO,8113,Unicharm Corp,TSE,jp,topix500,"Personal Care, Drug and Grocery Stores",ft_icb_native,2026-01-31,Consumer Staples,"Personal Care, Drug and Grocery Stores",ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8113:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8129:TYO,JP:8129,8129:TYO,8129,Toho Holdings Co Ltd,TSE,jp,topix500,"Personal Care, Drug and Grocery Stores",ft_icb_native,2026-01-31,Consumer Staples,"Personal Care, Drug and Grocery Stores",ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8129:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8136:TYO,JP:8136,8136:TYO,8136,Sanrio Co Ltd,TSE,jp,topix500,Leisure Goods,ft_icb_native,2026-01-31,Consumer Discretionary,Leisure Goods,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8136:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8174:TYO,JP:8174,8174:TYO,8174,Nippon Gas Co Ltd,TSE,jp,topix500,"Gas, Water and Multi-utilities",ft_icb_native,2026-01-31,Energy,"Gas, Water and Multi-utilities",ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8174:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8227:TYO,JP:8227,8227:TYO,8227,Shimamura Co Ltd,TSE,jp,topix500,Consumer Discretionary,ft_icb_native,2026-01-31,Consumer Discretionary,Consumer Discretionary,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8227:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8233:TYO,JP:8233,8233:TYO,8233,Takashimaya Co Ltd,TSE,jp,topix500,Consumer Discretionary,ft_icb_native,2026-01-31,Consumer Discretionary,Consumer Discretionary,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8233:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8242:TYO,JP:8242,8242:TYO,8242,H2O Retailing Corp,TSE,jp,topix500,Consumer Discretionary,ft_icb_native,2026-01-31,Consumer Discretionary,Consumer Discretionary,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8242:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8252:TYO,JP:8252,8252:TYO,8252,Marui Group Co Ltd,TSE,jp,topix500,Finance and Credit Services,ft_icb_native,2026-01-31,Financials,Finance and Credit Services,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8252:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8253:TYO,JP:8253,8253:TYO,8253,Credit Saison Co Ltd,TSE,jp,topix500,Industrial Support Services,ft_icb_native,2026-01-31,Industrials,Industrial Support Services,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8253:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8267:TYO,JP:8267,8267:TYO,8267,Aeon Co Ltd,TSE,jp,topix500,"Personal Care, Drug and Grocery Stores",ft_icb_native,2026-01-31,Consumer Staples,"Personal Care, Drug and Grocery Stores",ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8267:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8282:TYO,JP:8282,8282:TYO,8282,K'S Holdings Corp,TSE,jp,topix500,Consumer Discretionary,ft_icb_native,2026-01-31,Consumer Discretionary,Consumer Discretionary,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8282:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8283:TYO,JP:8283,8283:TYO,8283,PALTAC Corp,TSE,jp,topix500,"Personal Care, Drug and Grocery Stores",ft_icb_native,2026-01-31,Consumer Staples,"Personal Care, Drug and Grocery Stores",ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8283:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8304:TYO,JP:8304,8304:TYO,8304,Aozora Bank Ltd,TSE,jp,topix500,Banks,ft_icb_native,2026-01-31,Financials,Banks,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8304:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8306:TYO,JP:8306,8306:TYO,8306,Mitsubishi UFJ Financial Group Inc,TSE,jp,topix500,Banks,ft_icb_native,2026-01-31,Financials,Banks,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8306:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8308:TYO,JP:8308,8308:TYO,8308,Resona Holdings Inc,TSE,jp,topix500,Banks,ft_icb_native,2026-01-31,Financials,Banks,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8308:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
2026-01-31,JP:8309:TYO,JP:8309,8309:TYO,8309,Sumitomo Mitsui Trust Group Inc,TSE,jp,topix500,Banks,ft_icb_native,2026-01-31,Financials,Banks,ft_native_v2,ft_index_membership_filtered,0.95,high,2026-01-31,https://markets.ft.com/data/equities/tearsheet/summary?s=8309:TYO,2026-01-31T00:00:00+00:00,ft-jp-2026-01-31,2026-01-31,,True
