as_of_date,security_id,issuer_id,ticker,stock_code,stock_name,exchange,country,universe,native_taxonomy_label,taxonomy_source,taxonomy_version,icb_proxy_level1,icb_proxy_level3,mapping_version,mapping_method,confidence_score,confidence_band,mapping_effective_date,source_url,source_ts,run_id,effective_from,effective_to,is_current
2026-01-31,KRX:009830,KRX:009830,009830,009830,한화솔루션,KRX,kr,kospi200,에너지장비및서비스,naver_wics_primary,2026-01-31,Energy,"Oil, Gas and Coal",kr_icb_proxy_v1,native_label_exact,0.82,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:009970,KRX:009970,009970,009970,영원무역홀딩스,KRX,kr,kospi200,"섬유,의류,신발,호화품",naver_wics_primary,2026-01-31,Consumer Discretionary,Personal Goods,kr_icb_proxy_v1,native_label_exact,0.83,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:010060,KRX:010060,010060,010060,OCI홀딩스,KRX,kr,kospi200,화학,naver_wics_primary,2026-01-31,Basic Materials,Chemicals,kr_icb_proxy_v1,native_label_exact,0.86,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:010120,KRX:010120,010120,010120,LS ELECTRIC,KRX,kr,kospi200,전기장비,naver_wics_primary,2026-01-31,Industrials,Industrial Engineering,kr_icb_proxy_v1,native_label_exact,0.84,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:010130,KRX:010130,010130,010130,고려아연,KRX,kr,kospi200,비철금속,naver_wics_primary,2026-01-31,Basic Materials,Basic Resources,kr_icb_proxy_v1,native_label_exact,0.84,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:010140,KRX:010140,010140,010140,삼성중공업,KRX,kr,kospi200,조선,naver_wics_primary,2026-01-31,Industrials,Industrial Engineering,kr_icb_proxy_v1,native_label_exact,0.84,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:010950,KRX:010950,010950,010950,S-Oil,KRX,kr,kospi200,석유와가스,naver_wics_primary,2026-01-31,Energy,"Oil, Gas and Coal",kr_icb_proxy_v1,native_label_exact,0.84,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:011070,KRX:011070,011070,011070,LG이노텍,KRX,kr,kospi200,전자장비와기기,naver_wics_primary,2026-01-31,Technology,Technology Hardware and Equipment,kr_icb_proxy_v1,native_label_exact,0.84,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:011170,KRX:011170,011170,011170,롯데케미칼,KRX,kr,kospi200,화학,naver_wics_primary,2026-01-31,Basic Materials,Chemicals,kr_icb_proxy_v1,native_label_exact,0.86,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:011200,KRX:011200,011200,011200,HMM,KRX,kr,kospi200,해운사,naver_wics_primary,2026-01-31,Industrials,Transportation,kr_icb_proxy_v1,native_label_exact,0.84,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:011210,KRX:011210,011210,011210,현대위아,KRX,kr,kospi200,자동차부품,naver_wics_primary,2026-01-31,Consumer Discretionary,Automobiles and Parts,kr_icb_proxy_v1,native_label_exact,0.84,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:011780,KRX:011780,011780,011780,금호석유화학,KRX,kr,kospi200,화학,naver_wics_primary,2026-01-31,Basic Materials,Chemicals,kr_icb_proxy_v1,native_label_exact,0.86,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:011790,KRX:011790,011790,011790,SKC,KRX,kr,kospi200,화학,naver_wics_primary,2026-01-31,Basic Materials,Chemicals,kr_icb_proxy_v1,native_label_exact,0.86,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:012330,KRX:012330,012330,012330,현대모비스,KRX,kr,kospi200,자동차부품,naver_wics_primary,2026-01-31,Consumer Discretionary,Automobiles and Parts,kr_icb_proxy_v1,native_label_exact,0.84,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:012450,KRX:012450,012450,012450,한화에어로스페이스,KRX,kr,kospi200,우주항공과국방,naver_wics_primary,2026-01-31,Industrials,Industrial Engineering,kr_icb_proxy_v1,native_label_exact,0.84,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:0126Z0,KRX:0126Z0,0126Z0,0126Z0,삼성에피스홀딩스,KRX,kr,kospi200,제약,naver_wics_primary,2026-01-31,Health Care,Pharmaceuticals and Biotechnology,kr_icb_proxy_v1,native_label_exact,0.88,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:012750,KRX:012750,012750,012750,에스원,KRX,kr,kospi200,상업서비스와공급품,naver_wics_primary,2026-01-31,Industrials,Industrial Support Services,kr_icb_proxy_v1,native_label_exact,0.83,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:014620,KRX:014620,014620,014620,성광벤드,KRX,kr,kosdaq150,기계,naver_wics_primary,2026-01-31,Industrials,Industrial Engineering,kr_icb_proxy_v1,native_label_exact,0.84,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:014680,KRX:014680,014680,014680,한솔케미칼,KRX,kr,kospi200,화학,naver_wics_primary,2026-01-31,Basic Materials,Chemicals,kr_icb_proxy_v1,native_label_exact,0.86,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:014820,KRX:014820,014820,014820,동원시스템즈,KRX,kr,kospi200,포장재,naver_wics_primary,2026-01-31,Basic Materials,Chemicals,kr_icb_proxy_v1,native_label_exact,0.82,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:015750,KRX:015750,015750,015750,성우하이텍,KRX,kr,kosdaq150,자동차부품,naver_wics_primary,2026-01-31,Consumer Discretionary,Automobiles and Parts,kr_icb_proxy_v1,native_label_exact,0.84,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:015760,KRX:015760,015760,015760,한국전력,KRX,kr,kospi200,전기유틸리티,naver_wics_primary,2026-01-31,Utilities,Utilities,kr_icb_proxy_v1,native_label_exact,0.84,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:016360,KRX:016360,016360,016360,삼성증권,KRX,kr,kospi200,증권,naver_wics_primary,2026-01-31,Financials,Financial Services,kr_icb_proxy_v1,native_label_exact,0.86,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:017670,KRX:017670,017670,017670,SK텔레콤,KRX,kr,kospi200,무선통신서비스,naver_wics_primary,2026-01-31,Telecommunications,Telecommunications Service Providers,kr_icb_proxy_v1,native_label_exact,0.86,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:017800,KRX:017800,017800,017800,현대엘리베이터,KRX,kr,kospi200,기계,naver_wics_primary,2026-01-31,Industrials,Industrial Engineering,kr_icb_proxy_v1,native_label_exact,0.84,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:017960,KRX:017960,017960,017960,한국카본,KRX,kr,kospi200,조선,naver_wics_primary,2026-01-31,Industrials,Industrial Engineering,kr_icb_proxy_v1,native_label_exact,0.84,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:018260,KRX:018260,018260,018260,삼성에스디에스,KRX,kr,kospi200,IT서비스,naver_wics_primary,2026-01-31,Technology,Software and Computer Services,kr_icb_proxy_v1,native_label_exact,0.86,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:018290,KRX:018290,018290,018290,브이티,KRX,kr,kosdaq150,화장품,naver_wics_primary,2026-01-31,Consumer Discretionary,Personal Goods,kr_icb_proxy_v1,native_label_exact,0.83,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:018880,KRX:018880,018880,018880,한온시스템,KRX,kr,kospi200,자동차부품,naver_wics_primary,2026-01-31,Consumer Discretionary,Automobiles and Parts,kr_icb_proxy_v1,native_label_exact,0.84,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:021240,KRX:021240,021240,021240,코웨이,KRX,kr,kospi200,가정용기기와용품,naver_wics_primary,2026-01-31,Consumer Discretionary,Household Goods and Home Construction,kr_icb_proxy_v1,native_label_exact,0.82,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:022100,KRX:022100,022100,022100,포스코DX,KRX,kr,kospi200,IT서비스,naver_wics_primary,2026-01-31,Technology,Software and Computer Services,kr_icb_proxy_v1,native_label_exact,0.86,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:023530,KRX:023530,023530,023530,롯데쇼핑,KRX,kr,kospi200,백화점과일반상점,naver_wics_primary,2026-01-31,Consumer Discretionary,Retailers,kr_icb_proxy_v1,native_label_exact,0.84,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:024110,KRX:024110,024110,024110,기업은행,KRX,kr,kospi200,은행,naver_wics_primary,2026-01-31,Financials,Banks,kr_icb_proxy_v1,native_label_exact,0.88,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:025320,KRX:025320,025320,025320,시노펙스,KRX,kr,kosdaq150,핸드셋,naver_wics_primary,2026-01-31,Technology,Technology Hardware and Equipment,kr_icb_proxy_v1,native_label_exact,0.83,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:025900,KRX:025900,025900,025900,동화기업,KRX,kr,kosdaq150,건축자재,naver_wics_primary,2026-01-31,Industrials,Construction and Materials,kr_icb_proxy_v1,native_label_exact,0.84,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:025980,KRX:025980,025980,025980,아난티,KRX,kr,kosdaq150,"호텔,레스토랑,레저",naver_wics_primary,2026-01-31,Consumer Discretionary,Travel and Leisure,kr_icb_proxy_v1,native_label_exact,0.84,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:026960,KRX:026960,026960,026960,동서,KRX,kr,kospi200,식품,naver_wics_primary,2026-01-31,Consumer Staples,"Food, Beverage and Tobacco",kr_icb_proxy_v1,native_label_exact,0.85,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:028050,KRX:028050,028050,028050,삼성E&A,KRX,kr,kospi200,건설,naver_wics_primary,2026-01-31,Industrials,Construction and Materials,kr_icb_proxy_v1,native_label_exact,0.84,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
2026-01-31,KRX:028260,KRX:028260,028260,028260,삼성물산,KRX,kr,kospi200,복합기업,naver_wics_primary,2026-01-31,Industrials,Industrial Support Services,kr_icb_proxy_v1,native_label_exact,0.82,high,2026-01-31,data/raw/kr/2026-01-31/constituents.parquet,2026-01-31T00:00:00+00:00,kr-proxy-2026-01-31,2026-01-31,,True
